F1;F6;F193;F12;F14;F15;F16;F26;F72;F99;S;Busy;Exting;Decade;Car;Nozzle;Flow;Long
1146;0;2;2;1;1;5;10;0;0;52;112;51;24;2;2;7;0
1146;1;0;6;0;0;0;5;0;0;1;13;4;24;2;1;3,5;0
1146;1;0;5;0;0;0;7;0;0;4;11;3;25;1;1;3,5;0
1146;0;0;6;0;0;0;7;0;0;20;55;12;25;1;1;3,5;0
1146;1;0;6;0;0;0;4;0;0;2;20;5;25;1;1;3,5;0
1146;0;2;2;2;1;4;11;0;0;50;164;62;25;3;2;7;0
1146;1;2;2;2;2;5;6;0;1;40;51;32;25;3;2;7;0
1146;1;2;2;5;1;3;5;0;0;1;10;3;25;3;1;3,5;0
1146;0;0;6;0;0;0;17;0;0;6;42;9;25;1;1;3,5;0
1146;1;0;6;0;0;0;2;0;0;3;16;7;25;2;1;3,5;0
1146;0;1;2;1;1;5;19;0;0;12;106;38;25;2;1;3,5;0
1146;0;1;2;1;1;5;20;0;0;30;128;42;25;2;2;7;0
1146;1;1;2;1;1;5;10;0;0;4;28;9;25;2;2;7;0
1146;1;3;2;15;8;3;4;0;0;1;10;3;25;3;1;3,5;0
1146;0;0;6;0;0;0;19;0;0;9;78;3;26;1;1;3,5;0
1146;1;1;2;1;1;5;10;0;0;24;52;5;26;2;2;7;0
1146;0;1;2;1;1;5;19;0;0;2;23;3;26;2;1;3,5;0
1146;1;0;6;0;0;0;18;0;0;3;22;3;26;1;1;3,5;0
1146;1;1;2;1;1;4;10;0;1;2;40;24;26;3;2;7;0
1146;0;0;6;0;0;0;10;0;0;20;40;9;26;2;1;3,5;0
1146;1;0;6;0;0;0;3;0;0;1;10;3;26;1;1;3,5;0
1146;1;2;2;5;1;3;2;0;1;2;16;5;26;3;1;3,5;0
1146;0;0;6;0;0;0;18;0;0;10;40;9;26;2;1;3,5;0
1146;0;1;2;1;1;4;13;0;0;15;100;36;26;4;1;3,5;0
1146;1;1;2;1;1;3;2;0;0;10;84;25;27;2;2;7;0
1146;0;1;2;1;1;5;10;0;0;10;60;14;27;2;1;3,5;0
1146;0;0;6;0;0;0;17;0;0;10;21;3;27;2;1;3,5;0
1146;1;0;6;0;0;0;4;0;0;1;10;3;28;2;1;3,5;0
1146;1;0;5;0;0;0;3;0;0;1;10;3;26;2;1;3,5;0
1146;1;0;6;0;0;0;8;0;0;4;11;3;28;2;1;3,5;0
1146;0;2;2;2;1;4;20;0;0;20;329;30;28;3;2;7;0
1146;0;1;2;1;1;5;10;0;0;10;72;17;28;2;1;3,5;0
1146;1;2;2;2;1;4;10;0;0;90;259;75;28;3;1;3,5;0
1146;0;1;2;2;1;4;9;0;1;160;208;75;28;4;3;10,5;0
1146;0;2;2;2;1;4;19;0;0;12;55;13;28;3;2;7;0
1146;0;0;6;0;0;0;16;0;0;100;111;14;29;1;1;3,5;0
1146;1;1;2;1;1;5;5;0;0;16;135;19;29;2;1;3,5;0
1146;0;2;2;1;1;5;11;0;0;20;121;44;29;2;1;3,5;0
